family,family_label,case_id,dam_height,hydraulic_case_id,h_local_max,u_x_max,u_mag_max,u_at_hmax,h_at_umax,max_h_u2,momentum_flux_proxy,Fr,time_hmax,time_umax,boulder_mass,mstar,friction_coefficient,criterion_class,disp_pct_deq,margin_pct,max_displacement_m,max_rotation_deg,max_velocity_ms,source_csv
al2,AL2,al2_base_m085_mu0860,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,0.85,0.85,0.86,ESTABLE,1.4434608870534689,3.556539112946531,0.0014495378573879,4.778049562346237,0.1001094167798414,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv
batch4,Batch 4 masa,batch4_mass_m085_H0210_mu0740,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,0.85,0.85,0.74,FALLO,66.83080026941303,-61.83080026941303,0.0671118737705931,13.083428712303608,0.1002071973912053,exports\batch4_mass_probe_20260513\batch4_summary.csv
al2,AL2,al2_midH_m085_mu0880,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,0.85,0.85,0.88,FALLO,5.192101456017119,-0.1921014560171192,0.0052139602031469,5.608558802825447,0.1000507905515993,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv
al4,AL4,al4_midH_m085_mu0890,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,0.85,0.85,0.89,ESTABLE,2.432495473476913,2.5675045265230865,0.002442725936326,5.012945868647545,0.0999966822049611,exports\al_batch4_after_al3_20260520\al_batch4_summary.csv
al3,AL3,al3_midH_m085_mu0900,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,0.85,0.85,0.9,ESTABLE,3.3723959295426105,1.6276040704573895,0.0033865937164059,5.22265271630607,0.0999903904232801,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv
batch4,Batch 4 masa,batch4_mass_m085_H0225_mu0800,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,0.85,0.85,0.8,FALLO,106.55116387830704,-101.55116387830704,0.1069992912172789,16.373819552152725,0.1640414474485031,exports\batch4_mass_probe_20260513\batch4_summary.csv
al2,AL2,al2_highH_m085_mu0880,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,0.85,0.85,0.88,FALLO,53.548092644698144,-48.548092644698144,0.0537735301147323,12.4894752574627,0.1000295997842638,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv
al5,AL5,al5_highH_m085_mu0900,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,0.85,0.85,0.9,FALLO,35.73004950031964,-30.73004950031964,0.0358803210827323,9.895782137584517,0.0999975811357454,exports\al_batch5_after_al4_20260522\al_batch5_summary.csv
batch3,Batch 3,batch3_lowH_mu0600,0.175,hydro_unblocked_H0175,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,1.0,1.0,0.6,ESTABLE,1.232265179922457,3.767734820077543,0.0012374477766758,4.823487100363921,0.0999955836274782,exports\batch3_productivo_20260509\batch3_summary.csv
batch3,Batch 3,batch3_lowH_mu0640,0.175,hydro_unblocked_H0175,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,1.0,1.0,0.64,ESTABLE,1.2323118534027673,3.7676881465972327,0.001237494646453,4.939401915083683,0.0999956335346699,exports\batch3_productivo_20260509\batch3_summary.csv
batch3,Batch 3,batch3_lowH_mu0660,0.175,hydro_unblocked_H0175,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,1.0,1.0,0.66,ESTABLE,1.232463932307225,3.767536067692775,0.001237647364963,4.5307031224669325,0.0999945848583812,exports\batch3_productivo_20260509\batch3_summary.csv
batch2,Batch 2,batch2_h0175_mu0680,0.175,hydro_unblocked_H0175,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,1.0,1.0,0.68,ESTABLE,1.232463932307225,3.767536067692775,0.001237647364963,4.562662923130252,0.0999966822049611,exports\batch2_productivo_20260505\batch2_summary.csv
batch2,Batch 2,batch2_slope10_mu0600,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.6,ESTABLE,1.5049155555964768,3.495084444403523,0.0015112448511082,7.598206403962069,0.0999970585017379,exports\batch2_productivo_20260505\batch2_summary.csv
pilot,Piloto,prod_pilot_fail_low_mu,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.6,FALLO,42.3796,-37.3796,0.0425578396,10.67676,0.09999663,exports\pilot_productivo_20260501\pilot_summary.csv
batch2,Batch 2,batch2_slope10_mu0650,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.65,ESTABLE,1.4205255399963936,3.579474460003606,0.001426499912373,7.439596761721292,0.0999959639835528,exports\batch2_productivo_20260505\batch2_summary.csv
batch2,Batch 2,batch2_base_mu0675,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.675,FALLO,5.990393748726357,-0.9903937487263574,0.0060155878349502,5.332407382314178,0.0999956335196692,exports\batch2_productivo_20260505\batch2_summary.csv
batch3,Batch 3,batch3_base_mu0678,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.678,FALLO,6.534968616593035,-1.5349686165930354,0.0065624530474507,5.563638956052998,0.0999966822049611,exports\batch3_productivo_20260509\batch3_summary.csv
batch3,Batch 3,batch3_base_mu0680,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.68,FALLO,8.08744731050584,-3.0874473105058406,0.0081214610754467,5.864659461299195,0.0999966822049611,exports\batch3_productivo_20260509\batch3_summary.csv
pilot,Piloto,prod_pilot_slope_check,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.68,ESTABLE,1.420254,3.579746,0.00142622719,7.427412,0.09999258,exports\pilot_productivo_20260501\pilot_summary.csv
pilot,Piloto,prod_pilot_frontier,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.6806,FALLO,5.021031,-0.0210309999999998,0.00504214795,5.07661,0.09999668,exports\pilot_productivo_20260501\pilot_summary.csv
al4,AL4,al4_base_m100_mu06808,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.6808,ESTABLE,3.568260716691997,1.4317392833080032,0.0035832679218836,4.933463496179058,0.0999976310269398,exports\al_batch4_after_al3_20260520\al_batch4_summary.csv
batch4,Batch 4 masa,batch4_mass_m100_H0200_mu0681,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.681,ESTABLE,4.278297633371513,0.7217023666284872,0.0042962910748693,5.203381145335124,0.0999976809431098,exports\batch4_mass_probe_20260513\batch4_summary.csv
batch3,Batch 3,batch3_base_mu0682,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.682,ESTABLE,4.250500791351798,0.749499208648202,0.0042683773263383,5.332698290134056,0.0999987296219307,exports\batch3_productivo_20260509\batch3_summary.csv
batch2,Batch 2,batch2_base_mu0685,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.685,ESTABLE,3.7816027407111488,1.2183972592888512,0.0037975072086827,4.759904150549482,0.1000005276636078,exports\batch2_productivo_20260505\batch2_summary.csv
batch2,Batch 2,batch2_base_mu0700,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.7,ESTABLE,2.3118593367968665,2.688140663203133,0.0023215824344615,4.86725724256299,0.1000772706012709,exports\batch2_productivo_20260505\batch2_summary.csv
pilot,Piloto,prod_pilot_stable_high_mu,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.0,1.0,0.75,ESTABLE,1.231657,3.768343,0.00123683669,4.461535,0.1002541,exports\pilot_productivo_20260501\pilot_summary.csv
batch3,Batch 3,batch3_midH_mu0700,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.0,1.0,0.7,FALLO,23.9530916688294,-18.9530916688294,0.0240538323349938,8.270054106671035,0.1000665735248289,exports\batch3_productivo_20260509\batch3_summary.csv
batch3,Batch 3,batch3_midH_mu0740,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.0,1.0,0.74,FALLO,8.556527469631071,-3.556527469631071,0.0085925140674892,6.269481206197968,0.1002071973912053,exports\batch3_productivo_20260509\batch3_summary.csv
al5,AL5,al5_midH_m100_mu0744,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.0,1.0,0.744,FALLO,5.461008487029544,-0.4610084870295434,0.0054839761122747,5.636605798964994,0.1002199836260214,exports\al_batch5_after_al4_20260522\al_batch5_summary.csv
al6,AL6,al6_midH_m100_mu0746,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.0,1.0,0.746,FALLO,6.851042418221404,-1.851042418221404,0.006879856175822,5.964718586388204,0.1002248891543413,exports\al_batch6_after_al5_20260523\al_batch6_summary.csv
al4,AL4,al4_midH_m100_mu0748,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.0,1.0,0.748,ESTABLE,3.143890825993502,1.856109174006498,0.0031571132383876,5.274785161785713,0.100231693525551,exports\al_batch4_after_al3_20260520\al_batch4_summary.csv
al3,AL3,al3_midH_m100_mu0755,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.0,1.0,0.755,ESTABLE,3.575179683858651,1.424820316141349,0.0035902311903276,5.245978162534029,0.1002736437255573,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv
al2,AL2,al2_midH_m100_mu0770,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.0,1.0,0.77,ESTABLE,4.312194952321359,0.6878050476786406,0.0043303492930706,5.556227995862704,0.1003204685395757,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv
al1,AL1,al1_midH_m100_mu0800,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.0,1.0,0.8,ESTABLE,1.984164576900823,3.015835423099177,0.0019925094730011,4.959523045049443,0.1003214673786224,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv
batch2,Batch 2,batch2_h0225_mu0680,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.0,1.0,0.68,FALLO,111.27921273650792,-106.27921273650792,0.1117472250572691,16.892761271126467,0.1501730013051614,exports\batch2_productivo_20260505\batch2_summary.csv
batch2,Batch 2,batch2_h0225_mu0720,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.0,1.0,0.72,FALLO,62.8722898455196,-57.8722898455196,0.0631367148496023,13.389341045391069,0.1303923717784134,exports\batch2_productivo_20260505\batch2_summary.csv
batch3,Batch 3,batch3_highH_mu0760,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.0,1.0,0.76,FALLO,44.77633270195227,-39.77633270195227,0.0449646506713886,11.153884204480844,0.1002687840805901,exports\batch3_productivo_20260509\batch3_summary.csv
batch3,Batch 3,batch3_highH_mu0800,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.0,1.0,0.8,FALLO,25.726668897369983,-20.726668897369983,0.0258348687823262,8.563652596578885,0.1002960776251992,exports\batch3_productivo_20260509\batch3_summary.csv
batch4,Batch 4 masa,batch4_mass_m100_H0225_mu0860,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.0,1.0,0.86,FALLO,5.8479473868531135,-0.8479473868531135,0.0058725423795827,5.702800219957474,0.100081074149911,exports\batch4_mass_probe_20260513\batch4_summary.csv
al5,AL5,al5_highH_m100_mu08625,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.0,1.0,0.8625,FALLO,5.610725554454771,-0.6107255544547714,0.0056343228519492,5.752839491998092,0.1000899652562633,exports\al_batch5_after_al4_20260522\al_batch5_summary.csv
al6,AL6,al6_highH_m100_mu0864,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.0,1.0,0.864,FALLO,5.079949158658028,-0.0799491586580281,0.0051013141444143,5.686731292489694,0.1001145554802097,exports\al_batch6_after_al5_20260523\al_batch6_summary.csv
al4,AL4,al4_highH_m100_mu0865,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.0,1.0,0.865,ESTABLE,4.86488352625633,0.13511647374367,0.0048853440001702,5.6560911649884495,0.1001164082905494,exports\al_batch4_after_al3_20260520\al_batch4_summary.csv
al3,AL3,al3_highH_m100_mu0870,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.0,1.0,0.87,ESTABLE,2.976128392235968,2.023871607764032,0.0029886578927672,4.839221748833038,0.1000646248631353,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv
al2,AL2,al2_highH_m100_mu0880,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.0,1.0,0.88,ESTABLE,3.313414795922065,1.686585204077935,0.0033273642722128,4.758184116065739,0.1000286503857769,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv
batch4,Batch 4 masa,batch4_mass_m115_H0175_mu0640,0.175,hydro_unblocked_H0175,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,1.15,1.15,0.64,ESTABLE,1.2323118534027673,3.7676881465972327,0.001237494646453,4.123986098141169,0.0999945349606667,exports\batch4_mass_probe_20260513\batch4_summary.csv
al1,AL1,al1_base_m115_mu0620,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.15,1.15,0.62,ESTABLE,1.2313007354659906,3.7686992645340096,0.001236479276009,4.691238879274231,0.0999946348060734,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv
batch4,Batch 4 masa,batch4_mass_m115_H0200_mu0680,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.15,1.15,0.68,ESTABLE,1.2314766942152948,3.768523305784705,0.0012366559747965,4.408829118291414,0.099996632273292,exports\batch4_mass_probe_20260513\batch4_summary.csv
al7,AL7 local,al7_midH_m115_mu0620,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.15,1.15,0.62,FALLO,13.038638368822792,-8.038638368822793,0.0130935310363555,6.399065543801378,0.0999934863578623,exports\al_batch7_localgp_20260527\al_batch7_summary.csv
al8,AL8,al8_midH_m115_mu06400,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.15,1.15,0.64,FALLO,6.79504539984482,-1.7950453998448197,0.0068236525409781,5.410833035391349,0.0999956335346699,exports\al_batch8_after_al7_20260528\al_batch8_summary.csv
al8,AL8,al8_midH_m115_mu06525,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.15,1.15,0.6525,FALLO,5.0907817129639925,-0.0907817129639925,0.0051122139039755,5.214643856505705,0.0999945848583812,exports\al_batch8_after_al7_20260528\al_batch8_summary.csv
al8,AL8,al8_midH_m115_mu06675,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.15,1.15,0.6675,ESTABLE,3.2010924233331206,1.7989075766668794,0.0032145690224353,5.297077143139354,0.0999966822049611,exports\al_batch8_after_al7_20260528\al_batch8_summary.csv
al8,AL8,al8_midH_m115_mu06775,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.15,1.15,0.6775,ESTABLE,1.4695941576826,3.5304058423174,0.0014757811490864,5.009306015552281,0.0999966822049611,exports\al_batch8_after_al7_20260528\al_batch8_summary.csv
al6,AL6,al6_midH_m115_mu0685,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.15,1.15,0.685,ESTABLE,1.3359542704568916,3.664045729543109,0.0013415729573901,5.157743908261293,0.099998679696284,exports\al_batch6_after_al5_20260523\al_batch6_summary.csv
al5,AL5,al5_midH_m115_mu0700,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.15,1.15,0.7,ESTABLE,1.265947939495878,3.734052060504122,0.0012712721974462,4.855723860218946,0.1000656242323006,exports\al_batch5_after_al4_20260522\al_batch5_summary.csv
al1,AL1,al1_midH_m115_mu0730,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.15,1.15,0.73,ESTABLE,1.232515023389083,3.767484976610917,0.0012376986709211,4.78969572079245,0.1001692550186932,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv
batch4,Batch 4 masa,batch4_mass_m115_H0210_mu0760,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.15,1.15,0.76,ESTABLE,1.2326437474336316,3.767356252566368,0.0012378279363465,4.39126042358876,0.1002902201313767,exports\batch4_mass_probe_20260513\batch4_summary.csv
al2,AL2,al2_highH_m115_mu0700,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.15,1.15,0.7,FALLO,22.318497402527456,-17.318497402527456,0.022412458276592,7.904021738785348,0.1000382454164406,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv
